start_time,end_time,num_points
404.0,404.9,10
405.0,405.9,10
406.0,406.9,10
407.0,407.9,10
408.0,408.9,10
409.0,412.4,35
412.5,412.9,5
413.0,413.4,5
413.5,414.9,15
415.0,416.9,20
417.0,417.9,10
418.0,420.9,30
421.0,423.9,30
424.0,425.4,15
425.5,430.4,50
430.5,430.9,5
431.0,431.4,5
431.5,432.4,10
432.5,436.4,40
436.5,441.9,55
442.0,442.9,10
443.0,443.4,5
443.5,445.4,20
445.5,446.4,10
446.5,448.4,20
448.5,448.9,5
449.0,449.4,5
449.5,449.9,5
450.0,450.9,10
451.0,451.4,5
451.5,454.9,35
455.0,456.4,15
456.5,460.9,45
461.0,461.4,5
461.5,461.9,5
462.0,462.4,5
462.5,462.9,5
463.0,468.4,55
468.5,469.4,10
469.5,475.9,65
476.0,476.4,5
476.5,477.9,15
478.0,478.9,10
479.0,481.9,30
482.0,482.4,5
482.5,482.9,5
483.0,483.9,10
484.0,486.9,30
487.0,488.4,15
488.5,489.4,10
489.5,490.9,15
491.0,492.9,20
493.0,493.4,5
493.5,495.9,25
496.0,496.4,5
496.5,498.9,25
499.0,499.4,5
499.5,499.9,5
500.0,500.9,10
501.0,501.9,10
502.0,502.9,10
503.0,504.9,20
505.0,506.4,15
506.5,508.9,25
509.0,509.4,5
509.5,516.4,70
516.5,517.9,15
518.0,528.9,110
529.0,529.4,5
529.5,532.4,30
532.5,533.9,15
534.0,536.4,25
536.5,537.4,10
537.5,538.4,10
538.5,539.9,15
540.0,540.4,5
540.5,540.9,5
541.0,542.4,15
542.5,543.4,10
543.5,544.9,15
545.0,546.4,15
546.5,546.9,5
547.0,547.4,5
547.5,549.4,20
549.5,550.4,10
550.5,551.4,10
551.5,552.4,10
552.5,552.9,5
553.0,553.9,10
554.0,555.9,20
556.0,556.4,5
556.5,558.4,20
558.5,559.4,10
559.5,560.4,10
560.5,560.9,5
561.0,561.4,5
561.5,563.4,20
563.5,564.9,15
565.0,565.9,10
566.0,566.9,10
567.0,567.9,10
568.0,568.4,5
568.5,569.4,10
569.5,570.4,10
570.5,570.9,5
571.0,571.4,5
571.5,573.4,20
573.5,573.9,5
574.0,574.9,10
575.0,576.4,15
576.5,576.9,5
577.0,579.9,30
580.0,580.9,10
581.0,581.9,10
582.0,582.4,5
582.5,582.9,5
583.0,586.9,40
587.0,587.4,5
587.5,588.9,15
589.0,590.4,15
590.5,596.9,65
597.0,597.4,5
597.5,601.4,40
601.5,602.4,10
602.5,603.4,10
603.5,603.9,5
604.0,604.4,5
604.5,604.9,5
605.0,609.4,45
609.5,609.9,5
610.0,611.4,15
611.5,611.9,5
612.0,616.9000000000001,50
617.0,617.9000000000001,10
