start_time,end_time,goal_status,num_points
0.0,0.8,collision detected,9
0.9,1.3,stopped (unknown),5
1.4,3.6,moving to station 3,23
3.7,3.7,collision detected,1
3.8,4.7,moving to station 3,10
4.800000000000001,5.5,stopped (unknown),8
5.6000000000000005,14.7,moving to station 3,92
14.8,16.5,stopped (unknown),18
16.6,19.4,moving to station 3,29
19.5,20.6,stopped (unknown),12
20.700000000000003,24.0,moving to station 3,34
24.1,25.700000000000003,stopped (unknown),17
25.8,26.200000000000003,moving to station 3,5
26.3,27.200000000000003,stopped (unknown),10
27.3,29.8,moving to station 3,26
29.9,31.8,stopped (unknown),20
31.9,32.0,moving to station 3,2
32.1,32.800000000000004,stopped (unknown),8
32.9,35.2,moving to station 3,24
35.300000000000004,35.9,stopped (unknown),7
36.0,37.9,moving to station 3,20
38.0,39.8,stopped (unknown),19
39.900000000000006,42.6,moving to station 3,28
42.7,43.900000000000006,stopped (unknown),13
44.0,44.400000000000006,moving to station 3,5
44.5,45.0,stopped (unknown),6
45.1,45.6,moving to station 3,6
45.7,47.2,stopped (unknown),16
47.3,47.8,moving to station 3,6
47.900000000000006,49.1,stopped (unknown),13
49.2,50.400000000000006,moving to station 3,13
50.5,52.2,stopped (unknown),18
52.3,53.400000000000006,moving to station 3,12
53.5,54.5,stopped (unknown),11
54.6,54.6,moving to station 3,1
54.7,55.5,stopped (unknown),9
55.6,58.0,moving to station 3,25
58.1,58.900000000000006,stopped (unknown),9
59.0,59.0,moving to station 3,1
59.1,60.6,stopped (unknown),16
60.7,61.0,moving to station 3,4
61.1,61.7,stopped (unknown),7
61.8,62.400000000000006,moving to station 3,7
62.5,63.6,stopped (unknown),12
63.7,66.60000000000001,moving to station 3,30
66.7,68.3,stopped (unknown),17
68.4,68.9,moving to station 3,6
69.0,70.5,stopped (unknown),16
70.60000000000001,74.0,moving to station 3,35
74.10000000000001,75.0,stopped (unknown),10
75.10000000000001,75.8,moving to station 3,8
75.9,77.7,stopped (unknown),19
77.80000000000001,77.80000000000001,stopped at station 3,1
77.9,80.60000000000001,moving to station 7,28
80.7,82.30000000000001,stopped (unknown),17
82.4,83.9,moving to station 7,16
84.0,85.4,stopped (unknown),15
85.5,87.0,moving to station 7,16
87.10000000000001,88.10000000000001,stopped (unknown),11
88.2,89.30000000000001,moving to station 7,12
89.4,90.6,stopped (unknown),13
90.7,90.7,moving to station 7,1
90.8,93.4,stopped (unknown),27
93.5,94.9,moving to station 7,15
95.0,95.7,stopped (unknown),8
95.8,95.9,moving to station 7,2
96.0,97.6,stopped (unknown),17
97.7,97.9,moving to station 7,3
98.0,99.3,stopped (unknown),14
99.4,100.7,moving to station 7,14
100.8,102.5,stopped (unknown),18
102.6,105.1,moving to station 7,26
105.2,106.3,stopped (unknown),12
106.4,106.9,moving to station 7,6
107.0,108.1,stopped (unknown),12
108.2,113.9,moving to station 7,58
114.0,114.0,stopped at station 7,1
114.1,114.8,moving to station 6,8
114.9,115.8,stopped (unknown),10
115.9,117.2,moving to station 6,14
117.3,118.5,stopped (unknown),13
118.6,123.5,moving to station 6,50
123.6,125.4,stopped (unknown),19
125.5,126.1,moving to station 6,7
126.2,127.7,stopped (unknown),16
127.8,128.3,moving to station 6,6
128.4,129.8,stopped (unknown),15
129.9,132.0,moving to station 6,22
132.1,133.6,stopped (unknown),16
133.70000000000002,136.1,moving to station 6,25
136.20000000000002,139.1,stopped (unknown),30
139.20000000000002,139.4,moving to station 6,3
139.5,140.5,stopped (unknown),11
140.6,140.9,moving to station 6,4
141.0,142.8,stopped (unknown),19
142.9,142.9,moving to station 6,1
143.0,144.4,stopped (unknown),15
144.5,144.6,moving to station 6,2
144.70000000000002,146.1,stopped (unknown),15
146.20000000000002,151.8,moving to station 6,57
151.9,153.1,stopped (unknown),13
153.20000000000002,157.60000000000002,moving to station 6,45
157.70000000000002,158.5,stopped (unknown),9
158.60000000000002,162.9,moving to station 6,44
163.0,163.60000000000002,stopped (unknown),7
163.70000000000002,164.70000000000002,moving to station 6,11
164.8,164.8,stopped at station 6,1
164.9,167.20000000000002,moving to station 4,24
167.3,168.9,stopped (unknown),17
169.0,172.20000000000002,moving to station 4,33
172.3,173.8,stopped (unknown),16
173.9,175.20000000000002,moving to station 4,14
175.3,176.0,stopped (unknown),8
176.10000000000002,180.7,moving to station 4,47
180.8,182.6,stopped (unknown),19
182.7,182.7,moving to station 4,1
182.8,184.7,stopped (unknown),20
184.8,185.2,moving to station 4,5
185.3,186.9,stopped (unknown),17
187.0,187.4,moving to station 4,5
187.5,189.3,stopped (unknown),19
189.4,191.6,moving to station 4,23
191.7,192.7,stopped (unknown),11
192.8,193.3,moving to station 4,6
193.4,195.2,stopped (unknown),19
195.3,198.0,moving to station 4,28
198.1,199.9,stopped (unknown),19
200.0,200.5,moving to station 4,6
200.6,202.1,stopped (unknown),16
202.2,202.7,moving to station 4,6
202.8,203.0,stopped (unknown),3
203.1,203.1,collision detected,1
203.2,203.5,stopped (unknown),4
203.6,204.0,moving to station 1,5
204.1,204.8,stopped (unknown),8
204.9,206.7,moving to station 1,19
206.8,208.1,stopped (unknown),14
208.2,211.8,moving to station 1,37
211.9,213.7,stopped (unknown),19
213.8,216.2,moving to station 1,25
216.3,217.4,stopped (unknown),12
217.5,224.5,moving to station 1,71
224.6,225.4,stopped (unknown),9
225.5,227.5,moving to station 1,21
227.6,228.8,stopped (unknown),13
228.9,229.2,moving to station 1,4
229.3,229.8,stopped (unknown),6
229.9,234.1,moving to station 1,43
234.2,235.3,stopped (unknown),12
235.4,236.9,moving to station 1,16
237.0,237.9,stopped (unknown),10
238.0,238.8,moving to station 1,9
238.9,240.3,stopped (unknown),15
240.4,243.6,moving to station 1,33
243.7,245.2,stopped (unknown),16
245.3,247.1,moving to station 1,19
247.2,248.7,stopped (unknown),16
248.8,252.2,moving to station 1,35
252.3,253.2,stopped (unknown),10
253.3,258.5,moving to station 1,53
258.6,258.6,stopped at station 1,1
258.7,259.6,moving to station 2,10
259.7,261.1,stopped (unknown),15
261.2,261.40000000000003,moving to station 2,3
261.5,262.6,stopped (unknown),12
262.7,266.5,moving to station 2,39
266.6,267.1,stopped (unknown),6
267.2,270.7,moving to station 2,36
270.8,271.7,stopped (unknown),10
271.8,273.40000000000003,moving to station 2,17
273.5,274.40000000000003,stopped (unknown),10
274.5,275.40000000000003,moving to station 2,10
275.5,278.40000000000003,stopped (unknown),30
278.5,283.1,moving to station 2,47
283.2,284.2,stopped (unknown),11
284.3,284.6,moving to station 2,4
284.7,285.40000000000003,stopped (unknown),8
285.5,287.7,moving to station 2,23
287.8,289.3,stopped (unknown),16
289.40000000000003,290.3,moving to station 2,10
290.40000000000003,290.40000000000003,stopped at station 2,1
290.5,297.0,moving to station 6,66
297.1,298.90000000000003,stopped (unknown),19
299.0,302.8,moving to station 6,39
302.90000000000003,303.5,stopped (unknown),7
303.6,304.7,moving to station 6,12
304.8,306.3,stopped (unknown),16
306.40000000000003,308.8,moving to station 6,25
308.90000000000003,309.40000000000003,stopped (unknown),6
309.5,310.0,moving to station 6,6
310.1,311.70000000000005,stopped (unknown),17
311.8,312.0,moving to station 6,3
312.1,313.90000000000003,stopped (unknown),19
314.0,314.70000000000005,moving to station 6,8
314.8,316.3,stopped (unknown),16
316.40000000000003,320.90000000000003,moving to station 6,46
321.0,322.70000000000005,stopped (unknown),18
322.8,322.90000000000003,moving to station 6,2
323.0,323.0,stopped at station 6,1
