start_time,end_time,goal_status,num_points
0.0,0.5,collision detected,6
0.6000000000000001,1.0,stopped (unknown),5
1.1,1.1,collision detected,1
1.2000000000000002,1.6,stopped (unknown),5
1.7000000000000002,2.0,moving to station 0,4
2.1,2.6,stopped (unknown),6
2.7,3.7,moving to station 0,11
3.8,3.8,collision detected,1
3.9,3.9,moving to station 0,1
4.0,4.2,stopped (unknown),3
4.3,4.3,collision detected,1
4.4,5.800000000000001,stopped (unknown),15
5.9,5.9,moving to station 0,1
6.0,6.800000000000001,stopped (unknown),9
6.9,8.3,moving to station 0,15
8.4,9.1,stopped (unknown),8
9.2,10.0,moving to station 0,9
10.1,10.1,collision detected,1
10.2,11.5,moving to station 0,14
11.6,12.4,stopped (unknown),9
12.5,14.2,moving to station 0,18
14.3,15.3,collision detected,11
15.4,18.0,stopped (unknown),27
18.1,18.3,moving to station 0,3
18.4,19.3,stopped (unknown),10
19.4,19.9,moving to station 0,6
20.0,20.6,stopped (unknown),7
20.700000000000003,21.0,moving to station 0,4
21.1,22.6,stopped (unknown),16
22.700000000000003,23.3,moving to station 0,7
23.4,23.4,collision detected,1
23.5,25.200000000000003,moving to station 0,18
25.3,26.3,stopped (unknown),11
26.4,26.4,collision detected,1
26.5,26.6,stopped (unknown),2
26.700000000000003,26.8,moving to station 0,2
26.9,26.9,collision detected,1
27.0,27.200000000000003,moving to station 0,3
27.3,28.5,stopped (unknown),13
28.6,28.6,collision detected,1
28.700000000000003,28.700000000000003,stopped (unknown),1
28.8,29.1,moving to station 0,4
29.200000000000003,29.200000000000003,collision detected,1
29.3,31.5,moving to station 0,23
31.6,31.6,collision detected,1
31.700000000000003,35.800000000000004,moving to station 0,42
35.9,35.9,stopped at station 0,1
36.0,36.4,moving to station 8,5
36.5,37.7,stopped (unknown),13
37.8,37.8,collision detected,1
37.9,38.400000000000006,stopped (unknown),6
38.5,38.900000000000006,moving to station 8,5
39.0,39.0,collision detected,1
39.1,39.1,moving to station 8,1
39.2,39.3,stopped (unknown),2
39.400000000000006,39.400000000000006,collision detected,1
39.5,40.2,stopped (unknown),8
40.3,40.3,collision detected,1
40.400000000000006,40.7,stopped (unknown),4
40.8,41.2,moving to station 8,5
41.3,41.7,stopped (unknown),5
41.8,41.8,collision detected,1
41.900000000000006,42.3,stopped (unknown),5
42.400000000000006,42.7,moving to station 8,4
42.8,44.0,stopped (unknown),13
44.1,44.1,collision detected,1
44.2,44.400000000000006,stopped (unknown),3
44.5,44.8,moving to station 8,4
44.900000000000006,44.900000000000006,collision detected,1
45.0,45.3,moving to station 8,4
45.400000000000006,45.400000000000006,collision detected,1
45.5,47.7,moving to station 8,23
47.8,47.8,stopped (unknown),1
47.900000000000006,47.900000000000006,collision detected,1
48.0,48.400000000000006,stopped (unknown),5
48.5,48.6,moving to station 8,2
48.7,50.2,stopped (unknown),16
50.3,50.3,moving to station 8,1
50.400000000000006,50.7,stopped (unknown),4
50.8,50.8,collision detected,1
50.900000000000006,51.5,stopped (unknown),7
51.6,52.0,moving to station 8,5
52.1,53.6,stopped (unknown),16
53.7,54.3,moving to station 8,7
54.400000000000006,55.0,stopped (unknown),7
55.1,63.6,moving to station 8,86
63.7,65.5,stopped (unknown),19
65.60000000000001,72.5,moving to station 8,70
72.60000000000001,74.5,stopped (unknown),20
74.60000000000001,75.10000000000001,moving to station 8,6
75.2,76.10000000000001,stopped (unknown),10
76.2,79.0,moving to station 8,29
79.10000000000001,80.2,stopped (unknown),12
80.30000000000001,84.80000000000001,moving to station 8,46
84.9,86.5,stopped (unknown),17
86.60000000000001,86.80000000000001,moving to station 8,3
86.9,88.60000000000001,stopped (unknown),18
88.7,90.4,moving to station 8,18
90.5,92.3,stopped (unknown),19
92.4,93.3,moving to station 8,10
93.4,94.8,stopped (unknown),15
94.9,95.3,moving to station 8,5
95.4,95.4,stopped at station 8,1
95.5,102.5,moving to station 9,71
102.6,102.6,collision detected,1
102.7,103.2,moving to station 9,6
103.3,103.4,collision detected,2
103.5,104.4,moving to station 9,10
104.5,105.5,stopped (unknown),11
105.6,108.9,moving to station 9,34
109.0,109.8,stopped (unknown),9
109.9,110.4,moving to station 9,6
110.5,111.7,stopped (unknown),13
111.8,112.7,moving to station 9,10
112.8,113.5,stopped (unknown),8
113.6,113.9,moving to station 9,4
114.0,115.4,stopped (unknown),15
115.5,120.7,moving to station 9,53
120.8,122.7,stopped (unknown),20
122.8,126.1,moving to station 9,34
126.2,127.1,stopped (unknown),10
127.2,127.4,moving to station 9,3
127.5,129.4,stopped (unknown),20
129.5,129.6,moving to station 9,2
129.70000000000002,130.6,stopped (unknown),10
130.70000000000002,132.1,moving to station 9,15
132.20000000000002,133.9,stopped (unknown),18
134.0,137.6,moving to station 9,37
137.70000000000002,139.0,stopped (unknown),14
139.1,152.20000000000002,moving to station 9,132
152.3,153.8,stopped (unknown),16
153.9,154.4,moving to station 9,6
154.5,156.4,stopped (unknown),20
156.5,156.70000000000002,moving to station 9,3
156.8,158.60000000000002,stopped (unknown),19
158.70000000000002,159.3,moving to station 9,7
159.4,161.0,stopped (unknown),17
161.10000000000002,161.10000000000002,moving to station 9,1
161.20000000000002,162.5,stopped (unknown),14
162.60000000000002,162.60000000000002,moving to station 9,1
162.70000000000002,164.10000000000002,stopped (unknown),15
164.20000000000002,165.20000000000002,moving to station 9,11
165.3,166.20000000000002,stopped (unknown),10
166.3,170.0,moving to station 9,38
170.10000000000002,170.60000000000002,stopped (unknown),6
170.70000000000002,171.20000000000002,moving to station 9,6
171.3,173.10000000000002,stopped (unknown),19
173.20000000000002,175.0,moving to station 9,19
175.10000000000002,175.10000000000002,stopped at station 9,1
175.20000000000002,177.9,moving to station 7,28
178.0,179.8,stopped (unknown),19
179.9,179.9,moving to station 7,1
180.0,180.8,stopped (unknown),9
180.9,184.5,moving to station 7,37
184.6,186.3,stopped (unknown),18
186.4,188.4,moving to station 7,21
188.5,189.6,stopped (unknown),12
189.7,191.0,moving to station 7,14
191.1,192.9,stopped (unknown),19
193.0,193.7,moving to station 7,8
193.8,193.8,collision detected,1
193.9,194.1,moving to station 9,3
194.2,195.4,stopped (unknown),13
195.5,195.7,moving to station 9,3
195.8,196.5,stopped (unknown),8
196.6,196.6,moving to station 9,1
196.7,197.5,stopped (unknown),9
197.6,201.2,moving to station 9,37
201.3,202.0,stopped (unknown),8
202.1,208.6,moving to station 9,66
208.7,208.7,stopped at station 9,1
208.8,208.9,moving to station 8,2
209.0,209.5,stopped (unknown),6
209.6,209.8,moving to station 8,3
209.9,211.7,stopped (unknown),19
211.8,213.2,moving to station 8,15
213.3,215.2,stopped (unknown),20
215.3,215.6,moving to station 8,4
215.7,216.7,stopped (unknown),11
216.8,217.9,moving to station 8,12
218.0,219.0,stopped (unknown),11
219.1,219.4,moving to station 8,4
219.5,220.6,stopped (unknown),12
220.7,224.6,moving to station 8,40
224.7,226.2,stopped (unknown),16
226.3,226.5,moving to station 8,3
226.6,228.0,stopped (unknown),15
228.1,228.1,moving to station 8,1
228.2,228.8,stopped (unknown),7
228.9,234.0,moving to station 8,52
234.1,235.2,stopped (unknown),12
235.3,238.4,moving to station 8,32
238.5,239.0,stopped (unknown),6
239.1,239.1,moving to station 8,1
239.2,241.0,stopped (unknown),19
241.1,241.5,moving to station 8,5
241.6,243.5,stopped (unknown),20
243.6,243.7,moving to station 8,2
243.8,245.6,stopped (unknown),19
245.7,249.4,moving to station 8,38
249.5,250.9,stopped (unknown),15
251.0,251.8,moving to station 8,9
251.9,253.4,stopped (unknown),16
253.5,254.3,moving to station 8,9
254.4,256.1,stopped (unknown),18
256.2,259.1,moving to station 8,30
259.2,260.90000000000003,stopped (unknown),18
261.0,263.40000000000003,moving to station 8,25
263.5,264.1,stopped (unknown),7
264.2,265.0,moving to station 8,9
265.1,266.40000000000003,stopped (unknown),14
266.5,266.7,moving to station 8,3
266.8,267.5,stopped (unknown),8
267.6,269.3,moving to station 8,18
269.40000000000003,270.3,stopped (unknown),10
270.40000000000003,271.5,moving to station 8,12
271.6,272.2,stopped (unknown),7
272.3,278.6,moving to station 8,64
278.7,279.40000000000003,stopped (unknown),8
279.5,280.3,moving to station 6,9
280.40000000000003,281.90000000000003,stopped (unknown),16
282.0,284.90000000000003,moving to station 6,30
285.0,285.6,stopped (unknown),7
285.7,286.3,moving to station 6,7
286.40000000000003,287.0,stopped (unknown),7
287.1,287.7,moving to station 6,7
287.8,288.6,stopped (unknown),9
288.7,289.40000000000003,moving to station 6,8
289.5,291.0,stopped (unknown),16
291.1,291.3,moving to station 6,3
291.40000000000003,292.90000000000003,stopped (unknown),16
293.0,293.1,moving to station 6,2
293.2,294.5,stopped (unknown),14
294.6,296.90000000000003,moving to station 6,24
297.0,297.5,stopped (unknown),6
297.6,300.1,moving to station 6,26
300.2,300.90000000000003,stopped (unknown),8
301.0,301.2,moving to station 6,3
301.3,301.90000000000003,stopped (unknown),7
302.0,304.3,moving to station 6,24
304.40000000000003,305.6,stopped (unknown),13
305.7,306.0,moving to station 6,4
306.1,307.3,stopped (unknown),13
307.40000000000003,308.5,moving to station 6,12
308.6,309.5,stopped (unknown),10
309.6,310.90000000000003,moving to station 6,14
311.0,312.5,stopped (unknown),16
312.6,313.40000000000003,moving to station 6,9
313.5,314.20000000000005,stopped (unknown),8
314.3,315.0,moving to station 6,8
315.1,315.6,stopped (unknown),6
315.70000000000005,317.3,moving to station 6,17
317.40000000000003,318.40000000000003,stopped (unknown),11
318.5,319.70000000000005,moving to station 6,13
319.8,321.70000000000005,stopped (unknown),20
321.8,322.6,moving to station 6,9
322.70000000000005,324.6,stopped (unknown),20
324.70000000000005,326.6,moving to station 6,20
326.70000000000005,328.40000000000003,stopped (unknown),18
328.5,330.20000000000005,moving to station 6,18
330.3,332.1,stopped (unknown),19
332.20000000000005,335.3,moving to station 6,32
335.40000000000003,336.40000000000003,stopped (unknown),11
336.5,337.3,moving to station 6,9
337.40000000000003,339.3,stopped (unknown),20
339.40000000000003,339.70000000000005,moving to station 6,4
339.8,342.3,stopped (unknown),26
342.40000000000003,344.1,moving to station 6,18
344.20000000000005,345.20000000000005,stopped (unknown),11
345.3,346.6,moving to station 6,14
346.70000000000005,347.8,stopped (unknown),12
347.90000000000003,348.6,moving to station 6,8
348.70000000000005,349.3,stopped (unknown),7
349.40000000000003,350.5,moving to station 6,12
350.6,351.20000000000005,stopped (unknown),7
351.3,351.70000000000005,moving to station 6,5
351.8,353.3,stopped (unknown),16
353.40000000000003,355.3,moving to station 6,20
355.40000000000003,357.3,stopped (unknown),20
357.40000000000003,358.20000000000005,moving to station 6,9
358.3,360.1,stopped (unknown),19
360.20000000000005,360.7000000000001,moving to station 6,6
360.8,362.6,stopped (unknown),19
362.7000000000001,363.0,moving to station 6,4
363.1,364.2000000000001,stopped (unknown),12
364.3,365.7000000000001,moving to station 6,15
365.8,366.8,stopped (unknown),11
366.9,368.1,moving to station 6,13
368.2000000000001,369.6,stopped (unknown),15
369.7000000000001,370.8,moving to station 6,12
370.9,372.3,stopped (unknown),15
372.4,372.8,moving to station 6,5
372.9,373.7000000000001,stopped (unknown),9
373.8,374.5,moving to station 6,8
374.6,376.4,stopped (unknown),19
376.5,376.8,moving to station 6,4
376.9,378.3,stopped (unknown),15
378.4,380.6,moving to station 6,23
380.7000000000001,381.6,stopped (unknown),10
381.7000000000001,382.2000000000001,moving to station 6,6
382.3,383.7000000000001,stopped (unknown),15
383.8,384.3,moving to station 6,6
384.4,386.0,stopped (unknown),17
386.1,388.1,moving to station 6,21
388.2000000000001,389.1,stopped (unknown),10
389.2000000000001,392.2000000000001,moving to station 6,31
392.3,393.8,stopped (unknown),16
393.9,396.7000000000001,moving to station 6,29
396.8,397.3,stopped (unknown),6
397.4,401.3,moving to station 6,40
401.4,402.9,stopped (unknown),16
403.0,403.9,moving to station 6,10
404.0,405.3,stopped (unknown),14
405.4,405.4,moving to station 6,1
405.5,406.7000000000001,stopped (unknown),13
406.8,407.8,moving to station 6,11
407.9,407.9,stopped at station 6,1
408.0,410.9,moving to station 7,30
411.0,412.9,stopped (unknown),20
