start_time,end_time,num_points
0.0,3.4000000000000004,35
3.5,3.9,5
4.0,4.4,5
4.5,4.9,5
5.0,5.4,5
5.5,5.9,5
6.0,6.9,10
7.0,9.9,30
10.0,10.9,10
11.0,11.9,10
12.0,12.9,10
13.0,13.4,5
13.5,14.4,10
14.5,14.9,5
15.0,15.9,10
16.0,17.900000000000002,20
18.0,18.9,10
19.0,19.4,5
19.5,20.4,10
20.5,22.4,20
22.5,23.4,10
23.5,27.4,40
27.5,28.4,10
28.5,28.9,5
29.0,30.4,15
30.5,31.9,15
32.0,33.9,20
34.0,35.9,20
36.0,37.4,15
37.5,38.900000000000006,15
39.0,39.900000000000006,10
40.0,40.400000000000006,5
40.5,41.900000000000006,15
42.0,42.400000000000006,5
42.5,43.900000000000006,15
44.0,44.400000000000006,5
44.5,48.900000000000006,45
49.0,50.400000000000006,15
50.5,51.900000000000006,15
52.0,52.900000000000006,10
53.0,53.900000000000006,10
54.0,55.900000000000006,20
56.0,56.400000000000006,5
56.5,59.400000000000006,30
59.5,59.900000000000006,5
60.0,60.400000000000006,5
60.5,60.900000000000006,5
61.0,65.9,50
66.0,66.4,5
66.5,67.4,10
67.5,71.4,40
71.5,72.4,10
72.5,72.9,5
73.0,73.4,5
73.5,73.9,5
74.0,74.9,10
75.0,75.9,10
76.0,77.4,15
77.5,79.4,20
79.5,80.4,10
80.5,82.4,20
82.5,82.9,5
83.0,84.9,20
85.0,86.4,15
86.5,87.4,10
87.5,88.9,15
89.0,89.9,10
90.0,91.4,15
91.5,92.4,10
92.5,93.9,15
94.0,96.4,25
96.5,97.4,10
97.5,97.9,5
98.0,98.9,10
99.0,99.9,10
100.0,101.4,15
101.5,101.9,5
102.0,103.9,20
104.0,104.4,5
104.5,104.9,5
105.0,105.4,5
105.5,106.4,10
106.5,106.9,5
107.0,108.4,15
108.5,114.4,60
114.5,114.9,5
115.0,115.4,5
115.5,115.9,5
116.0,116.4,5
116.5,117.4,10
117.5,118.4,10
118.5,119.4,10
119.5,120.9,15
121.0,121.4,5
121.5,122.4,10
122.5,122.9,5
123.0,123.9,10
124.0,124.4,5
124.5,124.9,5
125.0,126.4,15
126.5,127.4,10
127.5,128.9,15
129.0,129.4,5
129.5,130.9,15
131.0,132.4,15
132.5,134.4,20
134.5,135.4,10
135.5,136.4,10
136.5,136.9,5
137.0,138.4,15
138.5,139.4,10
139.5,140.4,10
140.5,141.9,15
142.0,142.4,5
142.5,143.9,15
144.0,144.4,5
144.5,144.9,5
145.0,145.4,5
145.5,145.9,5
146.0,146.4,5
146.5,147.9,15
148.0,148.9,10
149.0,150.4,15
150.5,151.4,10
151.5,151.9,5
152.0,152.4,5
152.5,157.4,50
157.5,157.9,5
158.0,162.4,45
162.5,162.9,5
163.0,163.4,5
163.5,163.9,5
164.0,169.9,60
170.0,171.9,20
172.0,173.9,20
174.0,174.9,10
175.0,177.4,25
177.5,177.9,5
178.0,181.4,35
181.5,182.4,10
182.5,183.4,10
183.5,183.9,5
184.0,184.4,5
184.5,184.9,5
185.0,190.9,60
191.0,191.4,5
191.5,192.9,15
193.0,193.9,10
194.0,196.4,25
196.5,197.4,10
197.5,200.9,35
201.0,201.4,5
201.5,203.4,20
203.5,204.9,15
205.0,207.4,25
207.5,207.9,5
208.0,208.9,10
209.0,209.4,5
209.5,210.9,15
211.0,211.9,10
212.0,213.9,20
214.0,214.9,10
215.0,218.9,40
219.0,222.9,40
223.0,224.4,15
224.5,224.9,5
225.0,225.4,5
225.5,226.9,15
227.0,227.9,10
228.0,228.4,5
228.5,229.4,10
229.5,230.4,10
230.5,230.9,5
231.0,231.4,5
231.5,231.9,5
232.0,235.9,40
236.0,236.4,5
236.5,237.9,15
238.0,238.4,5
238.5,240.4,20
240.5,243.4,30
243.5,244.4,10
244.5,248.4,40
248.5,249.4,10
249.5,251.4,20
251.5,252.4,10
252.5,256.90000000000003,45
257.0,257.90000000000003,10
258.0,261.40000000000003,35
261.5,262.40000000000003,10
262.5,263.40000000000003,10
263.5,264.90000000000003,15
265.0,265.40000000000003,5
265.5,267.40000000000003,20
267.5,267.90000000000003,5
268.0,268.90000000000003,10
269.0,269.90000000000003,10
270.0,270.40000000000003,5
270.5,271.40000000000003,10
271.5,274.90000000000003,35
275.0,275.40000000000003,5
275.5,275.90000000000003,5
276.0,276.40000000000003,5
276.5,277.40000000000003,10
277.5,278.40000000000003,10
278.5,278.90000000000003,5
279.0,281.40000000000003,25
281.5,282.40000000000003,10
282.5,283.40000000000003,10
283.5,284.40000000000003,10
284.5,285.40000000000003,10
285.5,285.90000000000003,5
286.0,287.90000000000003,20
288.0,288.90000000000003,10
289.0,289.40000000000003,5
289.5,289.90000000000003,5
290.0,290.40000000000003,5
290.5,290.90000000000003,5
291.0,291.40000000000003,5
291.5,295.40000000000003,40
295.5,297.90000000000003,25
298.0,298.90000000000003,10
299.0,299.90000000000003,10
300.0,301.40000000000003,15
301.5,301.90000000000003,5
302.0,302.40000000000003,5
302.5,303.40000000000003,10
303.5,303.90000000000003,5
304.0,307.40000000000003,35
