start_time,end_time,num_points
0.0,4.9,50
5.0,6.9,20
7.0,11.4,45
11.5,12.4,10
12.5,13.4,10
13.5,13.9,5
14.0,15.4,15
15.5,16.400000000000002,10
16.5,17.400000000000002,10
17.5,17.900000000000002,5
18.0,19.9,20
20.0,21.4,15
21.5,23.4,20
23.5,24.4,10
24.5,24.9,5
25.0,26.4,15
26.5,27.9,15
28.0,28.4,5
28.5,29.4,10
29.5,30.4,10
30.5,30.9,5
31.0,31.4,5
31.5,31.9,5
32.0,32.9,10
33.0,33.4,5
33.5,33.9,5
34.0,36.9,30
37.0,37.4,5
37.5,39.400000000000006,20
39.5,40.400000000000006,10
40.5,41.400000000000006,10
41.5,47.400000000000006,60
47.5,47.900000000000006,5
48.0,48.900000000000006,10
49.0,49.900000000000006,10
50.0,51.400000000000006,15
51.5,52.900000000000006,15
53.0,53.900000000000006,10
54.0,54.900000000000006,10
55.0,58.400000000000006,35
58.5,59.900000000000006,15
60.0,60.900000000000006,10
61.0,61.400000000000006,5
61.5,62.400000000000006,10
62.5,62.900000000000006,5
63.0,64.4,15
64.5,64.9,5
65.0,65.4,5
65.5,66.4,10
66.5,72.9,65
73.0,73.9,10
74.0,76.4,25
76.5,77.4,10
77.5,78.4,10
78.5,79.9,15
80.0,83.4,35
83.5,84.9,15
85.0,88.4,35
88.5,88.9,5
89.0,91.9,30
92.0,92.4,5
92.5,102.4,100
102.5,102.9,5
103.0,103.4,5
103.5,104.9,15
105.0,106.4,15
106.5,107.9,15
108.0,109.9,20
110.0,111.4,15
111.5,112.9,15
113.0,113.9,10
114.0,119.4,55
119.5,119.9,5
120.0,122.9,30
123.0,124.4,15
124.5,124.9,5
125.0,125.9,10
126.0,127.9,20
128.0,128.4,5
128.5,128.9,5
129.0,130.4,15
130.5,130.9,5
131.0,131.9,10
132.0,132.9,10
133.0,133.9,10
134.0,136.4,25
136.5,137.4,10
137.5,142.4,50
142.5,143.9,15
144.0,145.4,15
145.5,145.9,5
146.0,157.9,120
158.0,158.4,5
158.5,159.9,15
160.0,160.9,10
161.0,163.9,30
164.0,165.4,15
165.5,165.9,5
166.0,167.4,15
167.5,169.4,20
169.5,170.4,10
170.5,171.9,15
172.0,172.9,10
173.0,173.4,5
173.5,173.9,5
174.0,174.4,5
174.5,176.9,25
177.0,177.4,5
177.5,179.4,20
179.5,179.9,5
180.0,180.4,5
180.5,182.9,25
183.0,183.4,5
183.5,186.4,30
186.5,186.9,5
187.0,187.4,5
187.5,188.9,15
189.0,191.4,25
191.5,191.9,5
192.0,196.4,45
196.5,197.4,10
197.5,204.4,70
204.5,204.9,5
205.0,205.4,5
205.5,206.9,15
207.0,209.4,25
209.5,209.9,5
210.0,210.4,5
210.5,210.9,5
211.0,212.4,15
212.5,213.9,15
214.0,214.4,5
214.5,214.9,5
215.0,215.4,5
215.5,216.4,10
216.5,216.9,5
217.0,217.4,5
217.5,217.9,5
218.0,222.9,50
223.0,223.4,5
223.5,224.4,10
224.5,225.4,10
225.5,230.9,55
231.0,231.4,5
231.5,231.9,5
232.0,235.9,40
236.0,236.9,10
237.0,237.9,10
238.0,238.4,5
238.5,238.9,5
239.0,239.9,10
240.0,240.9,10
241.0,241.4,5
241.5,241.9,5
242.0,243.4,15
243.5,243.9,5
244.0,244.9,10
245.0,246.4,15
246.5,250.4,40
250.5,250.9,5
251.0,251.4,5
251.5,252.9,15
