start_time,end_time,num_points
0.0,0.4,5
0.5,1.4,10
1.5,3.9,25
4.0,5.4,15
5.5,5.9,5
6.0,6.4,5
6.5,8.4,20
8.5,8.9,5
9.0,11.9,30
12.0,12.4,5
12.5,14.4,20
14.5,15.9,15
16.0,16.400000000000002,5
16.5,17.900000000000002,15
18.0,18.4,5
18.5,18.9,5
19.0,19.9,10
20.0,20.4,5
20.5,21.4,10
21.5,22.4,10
22.5,25.4,30
25.5,26.4,10
26.5,27.4,10
27.5,28.4,10
28.5,36.4,80
36.5,38.400000000000006,20
38.5,39.400000000000006,10
39.5,40.400000000000006,10
40.5,41.400000000000006,10
41.5,41.900000000000006,5
42.0,42.900000000000006,10
43.0,44.400000000000006,15
44.5,47.900000000000006,35
48.0,48.400000000000006,5
48.5,48.900000000000006,5
49.0,49.900000000000006,10
50.0,50.400000000000006,5
50.5,51.400000000000006,10
51.5,52.400000000000006,10
52.5,53.400000000000006,10
53.5,53.900000000000006,5
54.0,54.400000000000006,5
54.5,54.900000000000006,5
55.0,55.400000000000006,5
55.5,57.400000000000006,20
57.5,58.400000000000006,10
58.5,59.400000000000006,10
59.5,60.400000000000006,10
60.5,63.900000000000006,35
64.0,65.4,15
65.5,72.9,75
73.0,74.4,15
74.5,75.4,10
75.5,75.9,5
76.0,79.4,35
79.5,79.9,5
80.0,83.4,35
83.5,84.9,15
85.0,86.4,15
86.5,86.9,5
87.0,88.4,15
88.5,90.4,20
90.5,91.9,15
92.0,93.4,15
93.5,94.4,10
94.5,95.4,10
95.5,102.4,70
102.5,102.9,5
103.0,103.4,5
103.5,104.4,10
104.5,105.4,10
105.5,105.9,5
106.0,106.4,5
106.5,106.9,5
107.0,107.4,5
107.5,108.9,15
109.0,109.4,5
109.5,109.9,5
110.0,110.4,5
110.5,111.4,10
111.5,111.9,5
112.0,112.4,5
112.5,112.9,5
113.0,113.4,5
113.5,113.9,5
114.0,115.4,15
115.5,117.9,25
118.0,120.9,30
121.0,122.4,15
122.5,126.4,40
126.5,126.9,5
127.0,127.4,5
127.5,129.4,20
129.5,129.9,5
130.0,130.4,5
130.5,132.4,20
132.5,133.9,15
134.0,137.4,35
137.5,137.9,5
138.0,138.9,10
139.0,139.4,5
139.5,143.9,45
144.0,145.4,15
145.5,145.9,5
146.0,151.4,55
151.5,152.4,10
152.5,153.4,10
153.5,154.4,10
154.5,156.4,20
156.5,156.9,5
157.0,158.4,15
158.5,159.4,10
159.5,160.9,15
161.0,161.4,5
161.5,162.4,10
162.5,162.9,5
163.0,163.9,10
164.0,165.4,15
165.5,165.9,5
166.0,167.4,15
167.5,171.4,40
171.5,172.9,15
173.0,177.9,50
178.0,179.4,15
179.5,179.9,5
180.0,180.4,5
180.5,184.9,45
185.0,185.9,10
186.0,188.4,25
188.5,189.4,10
189.5,191.4,20
191.5,192.9,15
193.0,194.4,15
194.5,195.4,10
195.5,195.9,5
196.0,196.4,5
196.5,196.9,5
197.0,197.4,5
197.5,201.4,40
201.5,201.9,5
202.0,208.9,70
209.0,209.4,5
209.5,209.9,5
210.0,211.4,15
211.5,213.4,20
213.5,214.9,15
215.0,215.9,10
216.0,216.4,5
216.5,217.9,15
218.0,218.9,10
219.0,219.4,5
219.5,220.4,10
220.5,224.9,45
225.0,225.9,10
226.0,226.9,10
227.0,227.9,10
228.0,228.4,5
228.5,230.4,20
230.5,234.4,40
234.5,234.9,5
235.0,238.4,35
238.5,238.9,5
239.0,239.4,5
239.5,240.9,15
241.0,241.9,10
242.0,243.4,15
243.5,243.9,5
244.0,245.4,15
245.5,249.4,40
249.5,250.9,15
251.0,251.4,5
251.5,251.9,5
252.0,253.4,15
253.5,254.4,10
254.5,255.9,15
256.0,258.90000000000003,30
259.0,259.40000000000003,5
259.5,260.90000000000003,15
261.0,262.40000000000003,15
262.5,262.90000000000003,5
263.0,263.40000000000003,5
263.5,263.90000000000003,5
264.0,265.40000000000003,15
265.5,266.40000000000003,10
266.5,266.90000000000003,5
267.0,267.40000000000003,5
267.5,269.40000000000003,20
269.5,269.90000000000003,5
270.0,278.90000000000003,90
279.0,279.40000000000003,5
279.5,280.40000000000003,10
280.5,281.90000000000003,15
282.0,284.90000000000003,30
285.0,285.40000000000003,5
285.5,286.40000000000003,10
286.5,286.90000000000003,5
287.0,287.90000000000003,10
288.0,288.40000000000003,5
288.5,289.40000000000003,10
289.5,290.90000000000003,15
291.0,291.40000000000003,5
291.5,292.90000000000003,15
293.0,293.40000000000003,5
293.5,294.40000000000003,10
294.5,296.90000000000003,25
297.0,297.40000000000003,5
297.5,300.40000000000003,30
300.5,300.90000000000003,5
301.0,301.40000000000003,5
301.5,301.90000000000003,5
302.0,304.40000000000003,25
304.5,305.40000000000003,10
305.5,306.40000000000003,10
306.5,306.90000000000003,5
307.0,307.40000000000003,5
307.5,308.90000000000003,15
309.0,309.40000000000003,5
309.5,310.90000000000003,15
311.0,312.40000000000003,15
312.5,313.40000000000003,10
313.5,313.90000000000003,5
314.0,314.40000000000003,5
314.5,317.40000000000003,30
317.5,318.40000000000003,10
318.5,318.90000000000003,5
319.0,319.90000000000003,10
320.0,321.40000000000003,15
321.5,321.90000000000003,5
322.0,322.90000000000003,10
323.0,324.40000000000003,15
324.5,326.90000000000003,25
