start_time,end_time,goal_status,num_points
0.0,0.6000000000000001,collision detected,7
0.7000000000000001,4.9,moving to station 1,43
5.0,6.9,stopped (unknown),20
7.0,11.4,moving to station 1,45
11.5,12.6,stopped (unknown),12
12.7,13.1,moving to station 1,5
13.2,14.0,stopped (unknown),9
14.1,15.2,moving to station 1,12
15.3,16.6,stopped (unknown),14
16.7,17.2,moving to station 1,6
17.3,18.3,stopped (unknown),11
18.4,19.8,moving to station 1,15
19.9,21.4,stopped (unknown),16
21.5,23.200000000000003,moving to station 1,18
23.3,24.5,stopped (unknown),13
24.6,24.6,moving to station 1,1
24.700000000000003,26.5,stopped (unknown),19
26.6,27.8,moving to station 1,13
27.9,28.5,stopped (unknown),7
28.6,29.1,moving to station 1,6
29.200000000000003,29.700000000000003,stopped (unknown),6
29.8,29.8,collision detected,1
29.9,30.6,stopped (unknown),8
30.700000000000003,33.0,moving to station 1,24
33.1,34.2,stopped (unknown),12
34.300000000000004,39.1,moving to station 1,49
39.2,39.7,stopped (unknown),6
39.8,40.3,moving to station 1,6
40.400000000000006,41.400000000000006,stopped (unknown),11
41.5,47.2,moving to station 1,58
47.3,48.0,stopped (unknown),8
48.1,48.5,moving to station 1,5
48.6,50.2,stopped (unknown),17
50.3,51.3,moving to station 1,11
51.400000000000006,53.3,stopped (unknown),20
53.400000000000006,53.8,moving to station 1,5
53.900000000000006,54.900000000000006,stopped (unknown),11
55.0,58.0,moving to station 1,31
58.1,59.900000000000006,stopped (unknown),19
60.0,60.6,moving to station 1,7
60.7,61.7,stopped (unknown),11
61.8,62.0,moving to station 1,3
62.1,63.3,stopped (unknown),13
63.400000000000006,64.10000000000001,moving to station 1,8
64.2,64.9,stopped (unknown),8
65.0,65.4,moving to station 1,5
65.5,66.7,stopped (unknown),13
66.8,72.5,moving to station 1,58
72.60000000000001,73.9,stopped (unknown),14
74.0,76.0,moving to station 1,21
76.10000000000001,76.80000000000001,stopped (unknown),8
76.9,76.9,collision detected,1
77.0,77.4,stopped (unknown),5
77.5,78.2,moving to station 9,8
78.30000000000001,80.10000000000001,stopped (unknown),19
80.2,83.30000000000001,moving to station 9,32
83.4,85.2,stopped (unknown),19
85.30000000000001,88.10000000000001,moving to station 9,29
88.2,89.10000000000001,stopped (unknown),10
89.2,91.9,moving to station 9,28
92.0,92.5,stopped (unknown),6
92.6,102.1,moving to station 9,96
102.2,102.9,stopped (unknown),8
103.0,103.2,moving to station 9,3
103.3,105.2,stopped (unknown),20
105.3,106.3,moving to station 9,11
106.4,108.0,stopped (unknown),17
108.1,109.9,moving to station 9,19
110.0,111.7,stopped (unknown),18
111.8,112.7,moving to station 9,10
112.8,114.0,stopped (unknown),13
114.1,119.1,moving to station 9,51
119.2,120.1,stopped (unknown),10
120.2,120.5,moving to station 9,4
120.6,121.3,stopped (unknown),8
121.4,122.9,moving to station 9,16
123.0,124.7,stopped (unknown),18
124.8,124.8,stopped at station 9,1
124.9,126.3,stopped (unknown),15
126.4,127.7,moving to station 4,14
127.8,128.4,stopped (unknown),7
128.5,128.6,moving to station 4,2
128.70000000000002,130.4,stopped (unknown),18
130.5,130.9,moving to station 4,5
131.0,132.3,stopped (unknown),14
132.4,132.8,moving to station 4,5
132.9,134.20000000000002,stopped (unknown),14
134.3,136.20000000000002,moving to station 4,20
136.3,137.8,stopped (unknown),16
137.9,142.1,moving to station 4,43
142.20000000000002,144.0,stopped (unknown),19
144.1,145.3,moving to station 4,13
145.4,146.20000000000002,stopped (unknown),9
146.3,149.6,moving to station 4,34
149.70000000000002,149.70000000000002,stopped at station 4,1
149.8,155.4,moving to station 8,57
155.5,155.5,collision detected,1
155.60000000000002,157.9,moving to station 8,24
158.0,158.8,stopped (unknown),9
158.9,159.9,moving to station 8,11
160.0,161.20000000000002,stopped (unknown),13
161.3,163.60000000000002,moving to station 8,24
163.70000000000002,165.60000000000002,stopped (unknown),20
165.70000000000002,165.8,moving to station 8,2
165.9,166.60000000000002,stopped (unknown),8
166.70000000000002,166.70000000000002,collision detected,1
166.8,167.5,stopped (unknown),8
167.60000000000002,169.3,moving to station 8,18
169.4,170.70000000000002,stopped (unknown),14
170.8,171.5,moving to station 8,8
171.60000000000002,173.20000000000002,stopped (unknown),17
173.3,173.4,moving to station 8,2
173.5,174.20000000000002,stopped (unknown),8
174.3,179.4,moving to station 8,52
179.5,180.3,stopped (unknown),9
180.4,182.5,moving to station 8,22
182.6,183.5,stopped (unknown),10
183.6,187.2,moving to station 8,37
187.3,189.1,stopped (unknown),19
189.2,191.2,moving to station 8,21
191.3,191.9,stopped (unknown),7
192.0,196.0,moving to station 8,41
196.1,197.5,stopped (unknown),15
197.6,204.1,moving to station 8,66
204.2,205.0,stopped (unknown),9
205.1,205.2,moving to station 8,2
205.3,207.2,stopped (unknown),20
207.3,212.4,moving to station 8,52
212.5,213.9,stopped (unknown),15
214.0,214.5,moving to station 8,6
214.6,215.8,stopped (unknown),13
215.9,216.2,moving to station 8,4
216.3,216.9,stopped (unknown),7
217.0,217.0,moving to station 8,1
217.1,218.3,stopped (unknown),13
218.4,222.7,moving to station 8,44
222.8,223.6,stopped (unknown),9
223.7,224.2,moving to station 8,6
224.3,225.5,stopped (unknown),13
225.6,230.7,moving to station 8,52
230.8,230.8,stopped at station 8,1
230.9,231.4,moving to station 1,6
231.5,232.2,stopped (unknown),8
232.3,235.6,moving to station 1,34
235.7,237.1,stopped (unknown),15
237.2,237.9,moving to station 1,8
238.0,238.7,stopped (unknown),8
238.8,238.8,moving to station 1,1
238.9,240.0,stopped (unknown),12
240.1,243.1,moving to station 1,31
243.2,244.3,stopped (unknown),12
244.4,244.7,moving to station 1,4
244.8,246.7,stopped (unknown),20
246.8,251.3,moving to station 1,46
251.4,253.3,stopped (unknown),20
253.4,253.5,moving to station 1,2
253.6,255.1,stopped (unknown),16
255.2,255.8,moving to station 1,7
255.9,257.40000000000003,stopped (unknown),16
257.5,258.1,moving to station 1,7
258.2,259.0,stopped (unknown),9
259.1,259.1,moving to station 1,1
259.2,259.90000000000003,stopped (unknown),8
260.0,261.8,moving to station 1,19
261.90000000000003,263.3,stopped (unknown),15
263.40000000000003,270.3,moving to station 1,70
270.40000000000003,271.7,stopped (unknown),14
271.8,272.5,moving to station 1,8
272.6,273.2,stopped (unknown),7
273.3,273.8,moving to station 1,6
273.90000000000003,275.40000000000003,stopped (unknown),16
275.5,279.40000000000003,moving to station 1,40
279.5,280.7,stopped (unknown),13
280.8,285.6,moving to station 1,49
285.7,286.3,stopped (unknown),7
286.40000000000003,287.0,moving to station 1,7
287.1,288.7,stopped (unknown),17
288.8,291.5,moving to station 1,28
291.6,294.1,stopped (unknown),26
294.2,294.90000000000003,moving to station 1,8
295.0,296.0,stopped (unknown),11
296.1,298.40000000000003,moving to station 1,24
298.5,300.1,stopped (unknown),17
300.2,301.7,moving to station 1,16
301.8,303.6,stopped (unknown),19
303.7,303.7,moving to station 1,1
303.8,303.8,stopped at station 1,1
303.90000000000003,303.90000000000003,moving to station 3,1
304.0,304.6,stopped (unknown),7
304.7,306.40000000000003,moving to station 3,18
306.5,308.8,stopped (unknown),24
308.90000000000003,309.5,moving to station 3,7
309.6,310.70000000000005,stopped (unknown),12
310.8,311.20000000000005,moving to station 3,5
311.3,312.6,stopped (unknown),14
312.70000000000005,314.5,moving to station 3,19
314.6,315.8,stopped (unknown),13
315.90000000000003,316.70000000000005,moving to station 3,9
316.8,317.5,stopped (unknown),8
317.6,319.3,moving to station 3,18
319.40000000000003,320.1,stopped (unknown),8
320.20000000000005,320.90000000000003,moving to station 3,8
321.0,322.1,stopped (unknown),12
322.20000000000005,324.8,moving to station 3,27
324.90000000000003,325.8,stopped (unknown),10
325.90000000000003,326.70000000000005,moving to station 3,9
326.8,327.40000000000003,stopped (unknown),7
327.5,327.5,moving to station 3,1
327.6,328.5,stopped (unknown),10
328.6,334.70000000000005,moving to station 3,62
334.8,335.40000000000003,stopped (unknown),7
335.5,336.1,moving to station 3,7
336.20000000000005,337.0,stopped (unknown),9
337.1,338.20000000000005,moving to station 3,12
338.3,339.6,stopped (unknown),14
339.70000000000005,340.90000000000003,moving to station 3,13
341.0,342.70000000000005,stopped (unknown),18
342.8,348.8,moving to station 3,61
348.90000000000003,349.40000000000003,stopped (unknown),6
349.5,349.8,moving to station 3,4
349.90000000000003,350.5,stopped (unknown),7
350.6,354.70000000000005,moving to station 3,42
354.8,356.20000000000005,stopped (unknown),15
356.3,358.1,moving to station 3,19
358.20000000000005,359.0,stopped (unknown),9
359.1,359.5,moving to station 3,5
359.6,361.1,stopped (unknown),16
361.2000000000001,363.6,moving to station 3,25
363.7000000000001,365.4,stopped (unknown),18
365.5,365.8,moving to station 3,4
365.9,367.6,stopped (unknown),18
367.7000000000001,371.4,moving to station 3,38
371.5,373.1,stopped (unknown),17
373.2000000000001,375.9,moving to station 3,28
376.0,377.8,stopped (unknown),19
377.9,379.3,moving to station 3,15
379.4,380.4,stopped (unknown),11
380.5,381.8,moving to station 3,14
381.9,382.7000000000001,stopped (unknown),9
382.8,382.8,moving to station 3,1
382.9,383.7000000000001,stopped (unknown),9
383.8,384.0,moving to station 3,3
384.1,384.6,stopped (unknown),6
384.7000000000001,384.7000000000001,moving to station 3,1
384.8,386.9,stopped (unknown),22
387.0,390.8,moving to station 3,39
390.9,392.5,stopped (unknown),17
392.6,393.6,moving to station 3,11
393.7000000000001,394.3,stopped (unknown),7
394.4,395.2000000000001,moving to station 3,9
395.3,395.3,stopped at station 3,1
395.4,395.8,moving to station 8,5
395.9,396.9,stopped (unknown),11
397.0,403.1,moving to station 8,62
403.2000000000001,403.7000000000001,stopped (unknown),6
403.8,404.4,moving to station 8,7
404.5,405.8,stopped (unknown),14
405.9,406.6,moving to station 8,8
406.7000000000001,408.2000000000001,stopped (unknown),16
408.3,411.9,moving to station 8,37
412.0,413.8,stopped (unknown),19
413.9,414.7000000000001,moving to station 8,9
414.8,416.7000000000001,stopped (unknown),20
416.8,418.9,moving to station 8,22
419.0,419.7000000000001,stopped (unknown),8
419.8,419.9,moving to station 8,2
420.0,420.8,stopped (unknown),9
420.9,427.0,moving to station 8,62
427.1,428.8,stopped (unknown),18
428.9,430.1,moving to station 8,13
430.2000000000001,431.1,stopped (unknown),10
431.2000000000001,432.6,moving to station 8,15
432.7000000000001,434.5,stopped (unknown),19
434.6,438.4,moving to station 8,39
438.5,440.3,stopped (unknown),19
440.4,440.8,moving to station 8,5
440.9,442.1,stopped (unknown),13
442.2000000000001,442.8,moving to station 8,7
442.9,443.4,stopped (unknown),6
443.5,444.3,moving to station 8,9
444.4,445.7000000000001,stopped (unknown),14
445.8,449.1,moving to station 8,34
449.2000000000001,449.9,stopped (unknown),8
450.0,454.5,moving to station 8,46
454.6,456.2000000000001,stopped (unknown),17
456.3,459.4,moving to station 8,32
459.5,460.8,stopped (unknown),14
460.9,461.0,moving to station 8,2
461.1,462.5,stopped (unknown),15
462.6,466.0,moving to station 8,35
466.1,466.8,stopped (unknown),8
466.9,467.4,moving to station 8,6
467.5,467.5,stopped at station 8,1
467.6,468.4,stopped (unknown),9
468.5,469.7000000000001,moving to station 2,13
